ablation_mode,model,n_answers_total,n_accuracy_answers,strict_accuracy,accuracy,entity_accuracy,numeric_accuracy_when_number_expected,avg_latency_ms,median_latency_ms,p95_latency_ms,avg_tokens_per_second,unsupported_claim_rate,timeout_rate,error_rate
latest_snapshot_rag,gemma3:12b,240,240,0.4375,0.4375,0.775,0.5441,42767.623,3093.023,126074.244,25.234,0.05,0.0,0.0
latest_snapshot_rag,llama3.1:8b,240,240,0.3042,0.3042,0.6417,0.4167,9899.174,888.48,59982.339,43.646,0.05,0.0,0.0
latest_snapshot_rag,mistral-nemo:12b,240,240,0.4125,0.4125,0.75,0.5441,15302.802,1034.478,79017.199,33.689,0.05,0.0,0.0
latest_snapshot_rag,mistral:latest,240,240,0.3,0.3,0.6625,0.4559,3510.348,955.745,2303.753,44.017,0.05,0.0,0.0
latest_snapshot_rag,phi4-mini:latest,240,240,0.175,0.175,0.4375,0.1765,7003.186,524.123,38328.088,77.997,0.05,0.0,0.0
log_rag,gemma3:12b,240,240,0.375,0.375,0.5583,0.5147,44306.618,6179.305,128532.613,25.368,0.0,0.0,0.0
log_rag,llama3.1:8b,240,240,0.1667,0.1667,0.5125,0.2549,11632.963,950.279,58580.407,43.312,0.0,0.0,0.0
log_rag,mistral-nemo:12b,240,240,0.2667,0.2667,0.3417,0.3382,15900.851,4903.252,74628.262,33.815,0.1583,0.0,0.0
log_rag,mistral:latest,240,240,0.3375,0.3375,0.4875,0.4412,6340.766,4508.888,5124.289,42.4,0.0125,0.0,0.0
log_rag,phi4-mini:latest,240,240,0.1625,0.1625,0.5958,0.2402,6244.34,774.367,30880.038,98.095,0.025,0.0,0.0
temporal_graph_rag,gemma3:12b,240,240,1.0,1.0,1.0,1.0,40566.728,1700.043,125243.784,25.594,0.0,0.0,0.0
temporal_graph_rag,llama3.1:8b,240,240,1.0,1.0,1.0,1.0,9744.223,1010.707,57524.572,44.05,0.0,0.0,0.0
temporal_graph_rag,mistral-nemo:12b,240,240,1.0,1.0,1.0,1.0,15050.195,1025.371,78277.127,33.943,0.0,0.0,0.0
temporal_graph_rag,mistral:latest,240,240,0.9625,0.9625,1.0,0.9559,2892.005,921.882,2062.402,44.204,0.0,0.0,0.0
temporal_graph_rag,phi4-mini:latest,240,240,1.0,1.0,1.0,1.0,6824.059,718.635,38412.053,76.332,0.0,0.0,0.0
temporal_graph_rag_evidence_only,gemma3:12b,240,240,0.95,0.95,0.95,1.0,42435.622,3231.498,125631.067,25.124,0.0,0.0,0.0
temporal_graph_rag_evidence_only,llama3.1:8b,240,240,0.8417,0.8417,0.8417,0.9755,10494.91,890.077,59687.917,43.774,0.0,0.0,0.0
temporal_graph_rag_evidence_only,mistral-nemo:12b,240,240,0.9125,0.9125,0.9125,1.0,13161.287,1020.271,75220.498,33.624,0.0,0.0,0.0
temporal_graph_rag_evidence_only,mistral:latest,240,240,0.825,0.825,0.875,0.9412,3632.855,900.558,2324.489,44.01,0.0,0.0,0.0
temporal_graph_rag_evidence_only,phi4-mini:latest,240,240,0.5833,0.5833,0.5833,0.6569,5613.774,535.006,30692.863,77.704,0.0,0.0,0.0
